"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2009","2009","PC","Percentage","0","Units","2015","2015",0.992065307027632,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2010","2010","PC","Percentage","0","Units","2015","2015",0.951860785610282,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2011","2011","PC","Percentage","0","Units","2015","2015",1.18078524684328,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2012","2012","PC","Percentage","0","Units","2015","2015",1.31275939024723,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2013","2013","PC","Percentage","0","Units","2015","2015",1.37712391723609,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2014","2014","PC","Percentage","0","Units","2015","2015",1.53536060306426,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2015","2015","PC","Percentage","0","Units","2015","2015",1.62612491063818,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2016","2016","PC","Percentage","0","Units","2015","2015",1.62888277144862,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2017","2017","PC","Percentage","0","Units","2015","2015",1.47323769142236,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2018","2018","PC","Percentage","0","Units","2015","2015",1.31645029889637,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2019","2019","PC","Percentage","0","Units","2015","2015",1.16799028499634,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2020","2020","PC","Percentage","0","Units","2015","2015",0.966353397523354,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2021","2021","PC","Percentage","0","Units","2015","2015",1.01203708452011,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2022","2022","PC","Percentage","0","Units","2015","2015",0.942031610216671,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2023","2023","PC","Percentage","0","Units","2015","2015",0.771635609285032,,
"DEU","Germany","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2024","2024","PC","Percentage","0","Units","2015","2015",0.687115006008572,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1997","1997","PC","Percentage","0","Units","2015","2015",2.23517254209682,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1998","1998","PC","Percentage","0","Units","2015","2015",2.31020119122722,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1999","1999","PC","Percentage","0","Units","2015","2015",2.34917415091257,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2000","2000","PC","Percentage","0","Units","2015","2015",2.45246640232412,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2001","2001","PC","Percentage","0","Units","2015","2015",2.47819396396735,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2002","2002","PC","Percentage","0","Units","2015","2015",2.31590851889326,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2003","2003","PC","Percentage","0","Units","2015","2015",2.23396419536381,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2004","2004","PC","Percentage","0","Units","2015","2015",2.23774901904066,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2005","2005","PC","Percentage","0","Units","2015","2015",2.18030798528446,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2006","2006","PC","Percentage","0","Units","2015","2015",2.11480259208557,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2007","2007","PC","Percentage","0","Units","2015","2015",2.05408474652433,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2008","2008","PC","Percentage","0","Units","2015","2015",1.92435153471927,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2009","2009","PC","Percentage","0","Units","2015","2015",1.57351510620141,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2010","2010","PC","Percentage","0","Units","2015","2015",1.22165159725195,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2011","2011","PC","Percentage","0","Units","2015","2015",1.12696252185667,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2012","2012","PC","Percentage","0","Units","2015","2015",1.07483815392983,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2013","2013","PC","Percentage","0","Units","2015","2015",1.00799394707132,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2014","2014","PC","Percentage","0","Units","2015","2015",0.951335107736942,,
"AUT","Austria","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2015","2015","PC","Percentage","0","Units","2015","2015",0.940150020970912,,
